#      x          Cp  
     1.00000    0.23066
     0.98462    0.19056
     0.96034    0.11099
     0.93078    0.00787
     0.89909   -0.09544
     0.86678   -0.19020
     0.83426   -0.27650
     0.80163   -0.35638
     0.76893   -0.43169
     0.73618   -0.50384
     0.70338   -0.57390
     0.67054   -0.64272
     0.63769   -0.71101
     0.60483   -0.77941
     0.57197   -0.84853
     0.53913   -0.91904
     0.50633   -0.99174
     0.47360   -1.06794
     0.44097   -1.14905
     0.40858   -1.24507
     0.37681   -1.35806
     0.34549   -1.43215
     0.31441   -1.53814
     0.28359   -1.59270
     0.25305   -1.63381
     0.22288   -1.66518
     0.19318   -1.68332
     0.16410   -1.68667
     0.13589   -1.67421
     0.10898   -1.64529
     0.08417   -1.59995
     0.06260   -1.53952
     0.04526   -1.46592
     0.03217   -1.37868
     0.02249   -1.27255
     0.01531   -1.13641
     0.00993   -0.95510
     0.00591   -0.70580
     0.00301   -0.36927
     0.00110    0.06028
     0.00014    0.52630
     0.00009    0.90725
     0.00102    1.11910
     0.00310    1.09542
     0.00634    0.92290
     0.01071    0.72252
     0.01630    0.54649
     0.02340    0.40656
     0.03255    0.29897
     0.04464    0.22020
     0.06092    0.16678
     0.08245    0.13751
     0.10904    0.12848
     0.13912    0.13293
     0.17121    0.14430
     0.20443    0.15833
     0.23836    0.17254
     0.27275    0.18512
     0.30727    0.19628
     0.34162    0.21046
     0.37581    0.21102
     0.41003    0.19799
     0.44452    0.19321
     0.47916    0.19411
     0.51387    0.19640
     0.54854    0.19927
     0.58314    0.20219
     0.61768    0.20488
     0.65216    0.20716
     0.68661    0.20894
     0.72103    0.21019
     0.75544    0.21092
     0.78983    0.21119
     0.82423    0.21115
     0.85861    0.21105
     0.89290    0.21134
     0.92667    0.21306
     0.95823    0.21751
     0.98395    0.23128
     1.00000    0.23066
